ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	SCAIDS	SCAID	SCALOOSEID	ALIGNMENT
256	flower	NanSang	poh	poh	p o h	ruma1248	1-16	1 7 3	AXN	PUH	11	11.P.C 11.U.V 11.H.c	2.0 1.5 0.8	poh	0	9	614	39	32	p o h
385	fly	NamHsan	pәr	pәr	p ə r		1-25	1 7 5	AXN	PER	10	10.P.C 10.E.V 10.R.c	2.0 1.5 0.8	pər	0	19	631	58	33	p ə r
386	fly	KhunHawt	bәr	bәr	b ə r		1-25	1 7 5	AXN	PER	6	6.P.C 6.E.V 6.R.c	2.0 1.5 0.8	bər	0	19	631	58	33	b ə r
387	fly	HtanHsan	ɓәr	ɓәr	ɓ ə r		1-25	1 7 5	AXN	PER	5	5.P.C 5.E.V 5.R.c	2.0 1.5 0.8	ɓər	0	19	631	58	33	ɓ ə r
388	fly	PangKham	min	min	m i n		2-25	4 7 4	AXN	MIN	14	14.M.C 14.I.V 14.N.c	2.0 1.5 0.8	min	0	113	631	58	33	m i n
389	fly	ManLoi	bәr	bәr	b ə r		1-25	1 7 5	AXN	PER	8	8.P.C 8.E.V 8.R.c	2.0 1.5 0.8	bər	0	19	631	58	33	b ə r
390	fly	MengDan	phruː	phruː	pʰ r uː	khan1274	3-25	1 5 7	ACX	PRY	9	9.P.C 9.R.C 9.Y.V	2.0 1.5 1.5	pʰruː	0	169	631	58	33	pʰ r uː
391	fly	ChuDongGua	phruː	phruː	pʰ r uː		3-25	1 5 7	ACX	PRY	3	3.P.C 3.R.C 3.Y.V	2.0 1.5 1.5	pʰruː	0	169	631	58	33	pʰ r uː
392	fly	XiangZhaiTang	bən	bən	b ə n	ruma1248	1-25	1 7 4	AXN	PEN	16	16.P.C 16.E.V 16.N.c	2.0 1.5 0.8	bən	0	19	631	58	33	b ə n
393	fly	PongNuea	bən	bən	b ə n		1-25	1 7 4	AXN	PEN	15	15.P.C 15.E.V 15.N.c	2.0 1.5 0.8	bən	0	19	631	58	33	b ə n
394	fly	NyaungGone	bə̆n	bə̆n	b ə̆ n		1-25	1 7 4	AXN	PEN	13	13.P.C 13.E.V 13.N.c	2.0 1.5 0.8	bə̆n	0	19	631	58	33	b ə̆ n
395	fly	NoeLae	bə̆n	bə̆n	b ə̆ n		1-25	1 7 4	AXN	PEN	12	12.P.C 12.E.V 12.N.c	2.0 1.5 0.8	bə̆n	0	19	631	58	33	b ə̆ n
396	fly	BanPaw	bə̆n	bə̆n	b ə̆ n		1-25	1 7 4	AXN	PEN	1	1.P.C 1.E.V 1.N.c	2.0 1.5 0.8	bə̆n	0	19	631	58	33	b ə̆ n
397	fly	ChaYeQing	ɓaj	ɓaj	ɓ a j		1-25	1 7 6	AXN	PAJ	2	2.P.C 2.A.V 2.J.c	2.0 1.5 0.8	ɓaj	0	19	631	58	33	ɓ a j
398	fly	GuangKa	pɨːh	pɨːh	p ɨː h	ruma1248	4-25	1 7 3	AXN	PIH	4	4.P.C 4.I.V 4.H.c	2.0 1.5 0.8	pɨːh	0	196	631	58	33	p ɨː h
399	fly	MangBang	pɨː	pɨː	p ɨː	ruma1248	4-25	1 7	AX	PI	7	7.P.C 7.I.V	2.0 1.5	pɨː	0	196	631	58	33	p ɨː -
400	fly	NanSang	pɨː	pɨː	p ɨː	ruma1248	4-25	1 7	AX	PI	11	11.P.C 11.I.V	2.0 1.5	pɨː	0	196	631	58	33	p ɨː -
681	foot	NamHsan	ʥәŋ	ʥәŋ	dʑ ə ŋ		1-44	2 7 4	AXN	CEN	10	10.C.C 10.E.V 10.N.c	2.0 1.5 0.8	dʑəŋ	0	40	648	112	34	dʑ ə ŋ
682	foot	KhunHawt	ʥәːŋ	ʥәːŋ	dʑ əː ŋ		1-44	2 7 4	AXN	CEN	6	6.C.C 6.E.V 6.N.c	2.0 1.5 0.8	dʑəːŋ	0	40	648	112	34	dʑ əː ŋ
683	foot	HtanHsan	ʥәːŋ	ʥәːŋ	dʑ əː ŋ		1-44	2 7 4	AXN	CEN	5	5.C.C 5.E.V 5.N.c	2.0 1.5 0.8	dʑəːŋ	0	40	648	112	34	dʑ əː ŋ
684	foot	PangKham	ʨeŋ	ʨeŋ	tɕ e ŋ		1-44	2 7 4	AXN	CEN	14	14.C.C 14.E.V 14.N.c	2.0 1.5 0.8	tɕeŋ	0	40	648	112	34	tɕ e ŋ
685	foot	ManLoi	ʨeːŋ	ʨeːŋ	tɕ eː ŋ		1-44	2 7 4	AXN	CEN	8	8.C.C 8.E.V 8.N.c	2.0 1.5 0.8	tɕeːŋ	0	40	648	112	34	tɕ eː ŋ
686	foot	MengDan	ʨəŋ	ʨəŋ	tɕ ə ŋ	khan1274	1-44	2 7 4	AXN	CEN	9	9.C.C 9.E.V 9.N.c	2.0 1.5 0.8	tɕəŋ	0	40	648	112	34	tɕ ə ŋ
687	foot	ChuDongGua	ʥəŋ	ʥəŋ	dʑ ə ŋ		1-44	2 7 4	AXN	CEN	3	3.C.C 3.E.V 3.N.c	2.0 1.5 0.8	dʑəŋ	0	40	648	112	34	dʑ ə ŋ
688	foot	XiangZhaiTang	ʨeːn	ʨeːn	tɕ eː n	ruma1248	1-44	2 7 4	AXN	CEN	16	16.C.C 16.E.V 16.N.c	2.0 1.5 0.8	tɕeːn	0	40	648	112	34	tɕ eː n
689	foot	PongNuea	ceɲ	ceɲ	c e ɲ		1-44	1 7 4	AXN	CEN	15	15.C.C 15.E.V 15.N.c	2.0 1.5 0.8	ceɲ	0	40	648	112	34	c e ɲ
690	foot	NyaungGone	plɔ	plɔ	p l ɔ		2-44	1 5 7	ACX	PLU	13	13.P.C 13.L.C 13.U.V	2.0 1.5 1.5	plɔ	0	124	649	113	35	p l ɔ
691	foot	NoeLae	ceɲ	ceɲ	c e ɲ		1-44	1 7 4	AXN	CEN	12	12.C.C 12.E.V 12.N.c	2.0 1.5 0.8	ceɲ	0	40	648	112	34	c e ɲ
692	foot	BanPaw	ceɲ	ceɲ	c e ɲ		1-44	1 7 4	AXN	CEN	1	1.C.C 1.E.V 1.N.c	2.0 1.5 0.8	ceɲ	0	40	648	112	34	c e ɲ
693	foot	ChaYeQing	ʥɔːn	ʥɔːn	dʑ ɔː n		1-44	2 7 4	AXN	CUN	2	2.C.C 2.U.V 2.N.c	2.0 1.5 0.8	dʑɔːn	0	40	648	112	34	dʑ ɔː n
694	foot	GuangKa	ʥɔːn	ʥɔːn	dʑ ɔː n	ruma1248	1-44	2 7 4	AXN	CUN	4	4.C.C 4.U.V 4.N.c	2.0 1.5 0.8	dʑɔːn	0	40	648	112	34	dʑ ɔː n
695	foot	MangBang	ʥɔːn	ʥɔːn	dʑ ɔː n	ruma1248	1-44	2 7 4	AXN	CUN	7	7.C.C 7.U.V 7.N.c	2.0 1.5 0.8	dʑɔːn	0	40	648	112	34	dʑ ɔː n
696	foot	NanSang	ʥɔːn	ʥɔːn	dʑ ɔː n	ruma1248	1-44	2 7 4	AXN	CUN	11	11.C.C 11.U.V 11.N.c	2.0 1.5 0.8	dʑɔːn	0	40	648	112	34	dʑ ɔː n
1286	four	NamHsan	phon	phon	pʰ o n		1-82	1 7 4	AXN	PUN	10	10.P.C 10.U.V 10.N.c	2.0 1.5 0.8	pʰon	0	82	665	196	36	- - pʰ o n
1287	four	KhunHawt	phon	phon	pʰ o n		1-82	1 7 4	AXN	PUN	6	6.P.C 6.U.V 6.N.c	2.0 1.5 0.8	pʰon	0	82	665	196	36	- - pʰ o n
1288	four	HtanHsan	phoːn	phoːn	pʰ oː n		1-82	1 7 4	AXN	PUN	5	5.P.C 5.U.V 5.N.c	2.0 1.5 0.8	pʰoːn	0	82	665	196	36	- - pʰ oː n
1289	four	PangKham	phuan	phuan	pʰ ua n		1-82	1 7 4	AXN	PYN	14	14.P.C 14.Y.V 14.N.c	2.0 1.5 0.8	pʰuan	0	82	665	196	36	- - pʰ ua n
1290	four	ManLoi	phɔːn	phɔːn	pʰ ɔː n		1-82	1 7 4	AXN	PUN	8	8.P.C 8.U.V 8.N.c	2.0 1.5 0.8	pʰɔːn	0	82	665	196	36	- - pʰ ɔː n
1291	four	MengDan	phon	phon	pʰ o n	khan1274	1-82	1 7 4	AXN	PUN	9	9.P.C 9.U.V 9.N.c	2.0 1.5 0.8	pʰon	0	82	665	196	36	- - pʰ o n
1292	four	ChuDongGua	phɔn	phɔn	pʰ ɔ n		1-82	1 7 4	AXN	PUN	3	3.P.C 3.U.V 3.N.c	2.0 1.5 0.8	pʰɔn	0	82	665	196	36	- - pʰ ɔ n
1293	four	XiangZhaiTang	mphuan	mphuan	m + pʰ ua n	ruma1248	1-82	4 9 1 7 4	A_AXN	M_PYN	16	16.M.C 16._._ 16.P.C 16.Y.V 16.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰuan	0	82	666 665	197	36	m + pʰ ua n
1294	four	PongNuea	mphaun	mphaun	m + pʰ au n		1-82	4 9 1 7 4	A_AXN	M_PAN	15	15.M.C 15._._ 15.P.C 15.A.V 15.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰaun	0	82	666 665	197	36	m + pʰ au n
1295	four	NyaungGone	m phuan	m phuan	m + pʰ ua n		1-82	4 9 1 7 4	A_AXN	M_PYN	13	13.M.C 13._._ 13.P.C 13.Y.V 13.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰuan	0	82	666 665	197	36	m + pʰ ua n
1296	four	NoeLae	m phuan	m phuan	m + pʰ ua n		1-82	4 9 1 7 4	A_AXN	M_PYN	12	12.M.C 12._._ 12.P.C 12.Y.V 12.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰuan	0	82	666 665	197	36	m + pʰ ua n
1297	four	BanPaw	phuan	phuan	pʰ ua n		1-82	1 7 4	AXN	PYN	1	1.P.C 1.Y.V 1.N.c	2.0 1.5 0.8	pʰuan	0	82	665	196	36	- - pʰ ua n
1298	four	ChaYeQing	phoːm	phoːm	pʰ oː m		1-82	1 7 4	AXN	PUM	2	2.P.C 2.U.V 2.M.c	2.0 1.5 0.8	pʰoːm	0	82	665	196	36	- - pʰ oː m
1299	four	GuangKa	phoːn	phoːn	pʰ oː n	ruma1248	1-82	1 7 4	AXN	PUN	4	4.P.C 4.U.V 4.N.c	2.0 1.5 0.8	pʰoːn	0	82	665	196	36	- - pʰ oː n
1300	four	MangBang	phoːm	phoːm	pʰ oː m	ruma1248	1-82	1 7 4	AXN	PUM	7	7.P.C 7.U.V 7.M.c	2.0 1.5 0.8	pʰoːm	0	82	665	196	36	- - pʰ oː m
1301	four	NanSang	phon	phon	pʰ o n	ruma1248	1-82	1 7 4	AXN	PUN	11	11.P.C 11.U.V 11.N.c	2.0 1.5 0.8	pʰon	0	82	665	196	36	- - pʰ o n
257	fruit	NamHsan	ɓleː	ɓleː	ɓ l eː		1-17	1 5 7	ACX	PLE	10	10.P.C 10.L.C 10.E.V	2.0 1.5 1.5	ɓleː	0	10	686	40	37	ɓ l eː
258	fruit	KhunHawt	plej	plej	p l e j		2-17	1 5 7 6	ACXN	PLEJ	6	6.P.C 6.L.C 6.E.V 6.J.c	2.0 1.5 1.5 0.8	plej	0	108	686	40	37	p l e j
259	fruit	HtanHsan	ɓlej	ɓlej	ɓ l e j		2-17	1 5 7 6	ACXN	PLEJ	5	5.P.C 5.L.C 5.E.V 5.J.c	2.0 1.5 1.5 0.8	ɓlej	0	108	686	40	37	ɓ l e j
260	fruit	PangKham	bleː	bleː	b l eː		1-17	1 5 7	ACX	PLE	14	14.P.C 14.L.C 14.E.V	2.0 1.5 1.5	bleː	0	10	686	40	37	b l eː
261	fruit	ManLoi	blej	blej	b l e j		2-17	1 5 7 6	ACXN	PLEJ	8	8.P.C 8.L.C 8.E.V 8.J.c	2.0 1.5 1.5 0.8	blej	0	108	686	40	37	b l e j
262	fruit	MengDan	bliː	bliː	b l iː	khan1274	1-17	1 5 7	ACX	PLI	9	9.P.C 9.L.C 9.I.V	2.0 1.5 1.5	bliː	0	10	686	40	37	b l iː
263	fruit	ChuDongGua	ɓliː	ɓliː	ɓ l iː		1-17	1 5 7	ACX	PLI	3	3.P.C 3.L.C 3.I.V	2.0 1.5 1.5	ɓliː	0	10	686	40	37	ɓ l iː
264	fruit	XiangZhaiTang	blej	blej	b l e j	ruma1248	2-17	1 5 7 6	ACXN	PLEJ	16	16.P.C 16.L.C 16.E.V 16.J.c	2.0 1.5 1.5 0.8	blej	0	108	686	40	37	b l e j
265	fruit	PongNuea	blej	blej	b l e j		2-17	1 5 7 6	ACXN	PLEJ	15	15.P.C 15.L.C 15.E.V 15.J.c	2.0 1.5 1.5 0.8	blej	0	108	686	40	37	b l e j
266	fruit	NyaungGone	ble	ble	b l e		1-17	1 5 7	ACX	PLE	13	13.P.C 13.L.C 13.E.V	2.0 1.5 1.5	ble	0	10	686	40	37	b l e
267	fruit	NoeLae	ble	ble	b l e		1-17	1 5 7	ACX	PLE	12	12.P.C 12.L.C 12.E.V	2.0 1.5 1.5	ble	0	10	686	40	37	b l e
268	fruit	BanPaw	ble	ble	b l e		1-17	1 5 7	ACX	PLE	1	1.P.C 1.L.C 1.E.V	2.0 1.5 1.5	ble	0	10	686	40	37	b l e
269	fruit	ChaYeQing	ɓlɔːj	ɓlɔːj	ɓ l ɔː j		3-17	1 5 7 6	ACXN	PLUJ	2	2.P.C 2.L.C 2.U.V 2.J.c	2.0 1.5 1.5 0.8	ɓlɔːj	0	166	686	40	37	ɓ l ɔː j
270	fruit	GuangKa	plɔːj	plɔːj	p l ɔː j	ruma1248	3-17	1 5 7 6	ACXN	PLUJ	4	4.P.C 4.L.C 4.U.V 4.J.c	2.0 1.5 1.5 0.8	plɔːj	0	166	686	40	37	p l ɔː j
271	fruit	MangBang	plɔːj	plɔːj	p l ɔː j	ruma1248	3-17	1 5 7 6	ACXN	PLUJ	7	7.P.C 7.L.C 7.U.V 7.J.c	2.0 1.5 1.5 0.8	plɔːj	0	166	686	40	37	p l ɔː j
272	fruit	NanSang	plɔːj	plɔːj	p l ɔː j	ruma1248	3-17	1 5 7 6	ACXN	PLUJ	11	11.P.C 11.L.C 11.U.V 11.J.c	2.0 1.5 1.5 0.8	plɔːj	0	166	686	40	37	p l ɔː j
1331	full	NamHsan	nɔɁ	nɔɁ	n ɔ ʔ		1-85	4 7 1	AXN	NUH	10	10.N.C 10.U.V 10.H.c	2.0 1.5 0.8	nɔʔ	0	85	703	204	38	n ɔ ʔ
1332	full	KhunHawt	noɁ	noɁ	n o ʔ		1-85	4 7 1	AXN	NUH	6	6.N.C 6.U.V 6.H.c	2.0 1.5 0.8	noʔ	0	85	703	204	38	n o ʔ
1333	full	HtanHsan	nauɁ	nauɁ	n au ʔ		1-85	4 7 1	AXN	NAH	5	5.N.C 5.A.V 5.H.c	2.0 1.5 0.8	nauʔ	0	85	703	204	38	n au ʔ
1334	full	PangKham	noɁ	noɁ	n o ʔ		1-85	4 7 1	AXN	NUH	14	14.N.C 14.U.V 14.H.c	2.0 1.5 0.8	noʔ	0	85	703	204	38	n o ʔ
1335	full	ManLoi	nok	nok	n o k		1-85	4 7 1	AXN	NUK	8	8.N.C 8.U.V 8.K.c	2.0 1.5 0.8	nok	0	85	703	204	38	n o k
1336	full	MengDan	noʔ	noʔ	n o ʔ	khan1274	1-85	4 7 1	AXN	NUH	9	9.N.C 9.U.V 9.H.c	2.0 1.5 0.8	noʔ	0	85	703	204	38	n o ʔ
1337	full	ChuDongGua	nok	nok	n o k		1-85	4 7 1	AXN	NUK	3	3.N.C 3.U.V 3.K.c	2.0 1.5 0.8	nok	0	85	703	204	38	n o k
1338	full	XiangZhaiTang	nouɁ	nouɁ	n ou ʔ	ruma1248	1-85	4 7 1	AXN	NUH	16	16.N.C 16.U.V 16.H.c	2.0 1.5 0.8	nouʔ	0	85	703	204	38	n ou ʔ
1339	full	PongNuea	nouɁ	nouɁ	n ou ʔ		1-85	4 7 1	AXN	NUH	15	15.N.C 15.U.V 15.H.c	2.0 1.5 0.8	nouʔ	0	85	703	204	38	n ou ʔ
1340	full	NyaungGone	nouʔ	nouʔ	n ou ʔ		1-85	4 7 1	AXN	NUH	13	13.N.C 13.U.V 13.H.c	2.0 1.5 0.8	nouʔ	0	85	703	204	38	n ou ʔ
1341	full	NoeLae	nouɁ	nouɁ	n ou ʔ		1-85	4 7 1	AXN	NUH	12	12.N.C 12.U.V 12.H.c	2.0 1.5 0.8	nouʔ	0	85	703	204	38	n ou ʔ
1342	full	BanPaw	nouɁ	nouɁ	n ou ʔ		1-85	4 7 1	AXN	NUH	1	1.N.C 1.U.V 1.H.c	2.0 1.5 0.8	nouʔ	0	85	703	204	38	n ou ʔ
1343	full	ChaYeQing	nok	nok	n o k		1-85	4 7 1	AXN	NUK	2	2.N.C 2.U.V 2.K.c	2.0 1.5 0.8	nok	0	85	703	204	38	n o k
1344	full	GuangKa	nok	nok	n o k	ruma1248	1-85	4 7 1	AXN	NUK	4	4.N.C 4.U.V 4.K.c	2.0 1.5 0.8	nok	0	85	703	204	38	n o k
1345	full	MangBang	nok	nok	n o k	ruma1248	1-85	4 7 1	AXN	NUK	7	7.N.C 7.U.V 7.K.c	2.0 1.5 0.8	nok	0	85	703	204	38	n o k
1346	full	NanSang	nok	nok	n o k	ruma1248	1-85	4 7 1	AXN	NUK	11	11.N.C 11.U.V 11.K.c	2.0 1.5 0.8	nok	0	85	703	204	38	n o k
1124	give	NamHsan	dɛh	dɛh	d ɛ h		1-72	1 7 3	AXN	TEH	10	10.T.C 10.E.V 10.H.c	2.0 1.5 0.8	dɛh	0	71	720	167	39	d ɛ h
1125	give	KhunHawt	daih	daih	d ai h		1-72	1 7 3	AXN	TAH	6	6.T.C 6.A.V 6.H.c	2.0 1.5 0.8	daih	0	71	720	167	39	d ai h
1126	give	HtanHsan	daih	daih	d ai h		1-72	1 7 3	AXN	TAH	5	5.T.C 5.A.V 5.H.c	2.0 1.5 0.8	daih	0	71	720	167	39	d ai h
1127	give	PangKham	deh	deh	d e h		1-72	1 7 3	AXN	TEH	14	14.T.C 14.E.V 14.H.c	2.0 1.5 0.8	deh	0	71	720	167	39	d e h
1128	give	ManLoi	tɛh	tɛh	t ɛ h		1-72	1 7 3	AXN	TEH	8	8.T.C 8.E.V 8.H.c	2.0 1.5 0.8	tɛh	0	71	720	167	39	t ɛ h
1129	give	MengDan	deh	deh	d e h	khan1274	1-72	1 7 3	AXN	TEH	9	9.T.C 9.E.V 9.H.c	2.0 1.5 0.8	deh	0	71	720	167	39	d e h
1130	give	ChuDongGua	dɛh	dɛh	d ɛ h		1-72	1 7 3	AXN	TEH	3	3.T.C 3.E.V 3.H.c	2.0 1.5 0.8	dɛh	0	71	720	167	39	d ɛ h
1131	give	XiangZhaiTang	tajh	tajh	t ai h	ruma1248	1-72	1 7 3	AXN	TAH	16	16.T.C 16.A.V 16.H.c	2.0 1.5 0.8	taih	0	71	720	167	39	t ai h
1132	give	PongNuea	taih	taih	t ai h		1-72	1 7 3	AXN	TAH	15	15.T.C 15.A.V 15.H.c	2.0 1.5 0.8	taih	0	71	720	167	39	t ai h
1133	give	NyaungGone	taih	taih	t ai h		1-72	1 7 3	AXN	TAH	13	13.T.C 13.A.V 13.H.c	2.0 1.5 0.8	taih	0	71	720	167	39	t ai h
1134	give	NoeLae	taih	taih	t ai h		1-72	1 7 3	AXN	TAH	12	12.T.C 12.A.V 12.H.c	2.0 1.5 0.8	taih	0	71	720	167	39	t ai h
1135	give	BanPaw	taih	taih	t ai h		1-72	1 7 3	AXN	TAH	1	1.T.C 1.A.V 1.H.c	2.0 1.5 0.8	taih	0	71	720	167	39	t ai h
1136	give	ChaYeQing	dɛh	dɛh	d ɛ h		1-72	1 7 3	AXN	TEH	2	2.T.C 2.E.V 2.H.c	2.0 1.5 0.8	dɛh	0	71	720	167	39	d ɛ h
1137	give	GuangKa	dɛh	dɛh	d ɛ h	ruma1248	1-72	1 7 3	AXN	TEH	4	4.T.C 4.E.V 4.H.c	2.0 1.5 0.8	dɛh	0	71	720	167	39	d ɛ h
1138	give	MangBang	dɛh	dɛh	d ɛ h	ruma1248	1-72	1 7 3	AXN	TEH	7	7.T.C 7.E.V 7.H.c	2.0 1.5 0.8	dɛh	0	71	720	167	39	d ɛ h
1139	give	NanSang	dɛh	dɛh	d ɛ h	ruma1248	1-72	1 7 3	AXN	TEH	11	11.T.C 11.E.V 11.H.c	2.0 1.5 0.8	dɛh	0	71	720	167	39	d ɛ h
273	grass	NamHsan	kәrbaːn	kәrbaːn	k ə r + b aː n		1-18	1 7 5 9 1 7 4	AXN_AXN	KER_PAN	10	10.K.C 10.E.V 10.R.c 10._._ 10.P.C 10.A.V 10.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kər+baːn	0	11	739 737	41	40	k ə r + b aː n
274	grass	KhunHawt	kәrbaːn	kәrbaːn	k ə r + b aː n		1-18	1 7 5 9 1 7 4	AXN_AXN	KER_PAN	6	6.K.C 6.E.V 6.R.c 6._._ 6.P.C 6.A.V 6.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kər+baːn	0	11	739 737	41	40	k ə r + b aː n
275	grass	HtanHsan	brej	brej	b r e j		2-18	1 5 7 6	ACXN	PREJ	5	5.P.C 5.R.C 5.E.V 5.J.c	2.0 1.5 1.5 0.8	brej	0	109	738	42	41	b r e - j
276	grass	PangKham	praj	praj	p r a j		2-18	1 5 7 6	ACXN	PRAJ	14	14.P.C 14.R.C 14.A.V 14.J.c	2.0 1.5 1.5 0.8	praj	0	109	738	42	41	p r a - j
277	grass	ManLoi	praj	praj	p r a j		2-18	1 5 7 6	ACXN	PRAJ	8	8.P.C 8.R.C 8.A.V 8.J.c	2.0 1.5 1.5 0.8	praj	0	109	738	42	41	p r a - j
278	grass	MengDan	praj	praj	p r a j	khan1274	2-18	1 5 7 6	ACXN	PRAJ	9	9.P.C 9.R.C 9.A.V 9.J.c	2.0 1.5 1.5 0.8	praj	0	109	738	42	41	p r a - j
279	grass	ChuDongGua	ɓrai	ɓrai	ɓ r a j		2-18	1 5 7 6	ACXN	PRAJ	3	3.P.C 3.R.C 3.A.V 3.J.c	2.0 1.5 1.5 0.8	ɓraj	0	109	738	42	41	ɓ r a - j
280	grass	XiangZhaiTang	pət	pət	p ə t	ruma1248	3-18	1 7 1	AXN	PET	16	16.P.C 16.E.V 16.T.c	2.0 1.5 0.8	pət	0	167	737	43	40	p ə t
281	grass	PongNuea	pət	pət	p ə t		3-18	1 7 1	AXN	PET	15	15.P.C 15.E.V 15.T.c	2.0 1.5 0.8	pət	0	167	737	43	40	p ə t
282	grass	NyaungGone	pə̆t	pə̆t	p ə̆ t		3-18	1 7 1	AXN	PET	13	13.P.C 13.E.V 13.T.c	2.0 1.5 0.8	pə̆t	0	167	737	43	40	p ə̆ t
283	grass	NoeLae	pə̆t	pə̆t	p ə̆ t		3-18	1 7 1	AXN	PET	12	12.P.C 12.E.V 12.T.c	2.0 1.5 0.8	pə̆t	0	167	737	43	40	p ə̆ t
284	grass	BanPaw	pə̆t	pə̆t	p ə̆ t		3-18	1 7 1	AXN	PET	1	1.P.C 1.E.V 1.T.c	2.0 1.5 0.8	pə̆t	0	167	737	43	40	p ə̆ t
285	grass	ChaYeQing	bjai	bjai	b ia i		2-18	1 7 7	AXZ	PII	2	2.P.C 2.I.V 2.I.V	2.0 1.5 0.8	biai	0	109	737	43	40	b - ia i -
286	grass	GuangKa	bat	bat	b a t	ruma1248	3-18	1 7 1	AXN	PAT	4	4.P.C 4.A.V 4.T.c	2.0 1.5 0.8	bat	0	167	737	43	40	b a t
287	grass	MangBang	bət	bət	b ə t	ruma1248	3-18	1 7 1	AXN	PET	7	7.P.C 7.E.V 7.T.c	2.0 1.5 0.8	bət	0	167	737	43	40	b ə t
288	grass	NanSang	bat	bat	b a t	ruma1248	3-18	1 7 1	AXN	PAT	11	11.P.C 11.A.V 11.T.c	2.0 1.5 0.8	bat	0	167	737	43	40	b a t
481	hair	NamHsan	huɁkiŋ	huɁkiŋ	h u ʔ + k i ŋ		1-31	3 7 1 9 1 7 4	AXN_AXN	HYH_KIN	10	10.H.C 10.Y.V 10.H.c 10._._ 10.K.C 10.I.V 10.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	huʔ+kiŋ	0	26	756 757	74	42	h u ʔ + k i ŋ
482	hair	KhunHawt	houɁ keɲ	houɁ keɲ	h ou ʔ + k e ɲ		1-31	3 7 1 9 1 7 4	AXN_AXN	HUH_KEN	6	6.H.C 6.U.V 6.H.c 6._._ 6.K.C 6.E.V 6.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	houʔ+keɲ	0	26	756 757	74	42	h ou ʔ + k e ɲ
483	hair	HtanHsan	houɁ kiɲ	houɁ kiɲ	h ou ʔ + k i ɲ		1-31	3 7 1 9 1 7 4	AXN_AXN	HUH_KIN	5	5.H.C 5.U.V 5.H.c 5._._ 5.K.C 5.I.V 5.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	houʔ+kiɲ	0	26	756 757	74	42	h ou ʔ + k i ɲ
484	hair	PangKham	hɨk ɡiɲ	hɨk ɡiɲ	h ɨ k + g i ɲ		1-31	3 7 1 9 1 7 4	AXN_AXN	HIK_KIN	14	14.H.C 14.I.V 14.K.c 14._._ 14.K.C 14.I.V 14.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	hɨk+giɲ	0	26	756 757	74	42	h ɨ k + g i ɲ
485	hair	ManLoi	huk ɡiŋ	huk ɡiŋ	h u k + g i ŋ		1-31	3 7 1 9 1 7 4	AXN_AXN	HYK_KIN	8	8.H.C 8.Y.V 8.K.c 8._._ 8.K.C 8.I.V 8.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	huk+giŋ	0	26	756 757	74	42	h u k + g i ŋ
486	hair	MengDan	huʔ kiŋ	huʔ kiŋ	h u ʔ + k i ŋ	khan1274	1-31	3 7 1 9 1 7 4	AXN_AXN	HYH_KIN	9	9.H.C 9.Y.V 9.H.c 9._._ 9.K.C 9.I.V 9.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	huʔ+kiŋ	0	26	756 757	74	42	h u ʔ + k i ŋ
487	hair	ChuDongGua	huʔ kiŋ	huʔ kiŋ	h u ʔ + k i ŋ		1-31	3 7 1 9 1 7 4	AXN_AXN	HYH_KIN	3	3.H.C 3.Y.V 3.H.c 3._._ 3.K.C 3.I.V 3.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	huʔ+kiŋ	0	26	756 757	74	42	h u ʔ + k i ŋ
488	hair	XiangZhaiTang	huːj	huːj	h uː j	ruma1248	1-31	3 7 6	AXN	HYJ	16	16.H.C 16.Y.V 16.J.c	2.0 1.5 0.8	huːj	0	26	756	75	42	h uː j - - - -
489	hair	PongNuea	hɨk ɡiɲ	hɨk ɡiɲ	h ɨ k + g i ɲ		1-31	3 7 1 9 1 7 4	AXN_AXN	HIK_KIN	15	15.H.C 15.I.V 15.K.c 15._._ 15.K.C 15.I.V 15.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	hɨk+giɲ	0	26	756 757	74	42	h ɨ k + g i ɲ
490	hair	NyaungGone	hɨk ɡɨn	hɨk ɡɨn	h ɨ k + g ɨ n		1-31	3 7 1 9 1 7 4	AXN_AXN	HIK_KIN	13	13.H.C 13.I.V 13.K.c 13._._ 13.K.C 13.I.V 13.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	hɨk+gɨn	0	26	756 757	74	42	h ɨ k + g ɨ n
